,temp,dew,humidity,windspeed,sealevelpressure,moonphase,Year,Month,Date_split,winddir
400,29.9,14.7,40.15,18.4,,0.4,2007,04,27,
401,34.0,10.7,27.94,22.3,1005.3,0.4,2007,04,27,
402,31.2,22.3,61.39,16.6,1005.0,0.4,2007,04,27,
403,31.6,14.2,38.91,9.4,1007.2,0.4,2007,04,27,
404,30.9,22.6,64.16,7.6,1008.3,0.4,2007,04,27,
405,35.7,15.2,33.75,16.6,,0.43,2007,04,28,
406,28.2,17.2,53.88,18.4,,0.43,2007,04,28,
407,33.5,10.4,25.55,22.3,1005.1,0.43,2007,04,28,
408,31.1,24.3,68.25,18.4,,0.43,2007,04,28,
409,35.6,18.1,37.2,11.2,,0.43,2007,04,28,
410,34.9,3.0,14.4,25.9,1004.7,0.43,2007,04,28,
411,35.7,5.5,18.77,18.4,,0.43,2007,04,28,
412,32.4,20.7,51.18,18.4,,0.43,2007,04,28,
413,26.9,23.7,83.14,9.4,1007.2,0.43,2007,04,28,
414,32.4,20.7,51.18,18.4,,0.43,2007,04,28,
415,30.0,16.1,43.5,18.4,,0.43,2007,04,28,
416,35.5,10.9,26.13,22.3,1004.6,0.43,2007,04,28,
417,30.7,22.3,62.28,18.4,1006.9,0.43,2007,04,28,
418,31.4,17.7,47.26,16.6,1006.3,0.43,2007,04,28,
